Stock Code,Issuer,Sector,HSI/HKQAA Ratings,MSCI ESG Rating,S&P ESG Rating
669,Techtronic Industries Co. Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,A,BBB,44
670,China Eastern Airlines Corporation Ltd. - H Shares,Consumer Discretionary - Travel &amp; Leisure,BBB+,CCC,27
683,Kerry Properties Ltd.,Properties &amp; Construction - Properties,AA+,AA,66
688,China Overseas Land &amp; Investment Ltd.,Properties &amp; Construction - Properties,AA-,A,69
691,China Shanshui Cement Group Ltd.,Properties &amp; Construction - Construction,30,,30
694,Beijing Capital International Airport Co. Ltd. - H Shares,Consumer Discretionary - Travel &amp; Leisure,BBB,BB,34
696,TravelSky Technology Ltd. - H Shares,Information Technology - Software &amp; Services,BBB+,BB,24
697,Shoucheng Holdings Ltd.,Financials - Other Financials,A-,BB,
698,Tongda Group Holdings Ltd.,Industrials - Industrial Engineering,33,,33
699,Ningbo Joyson Electronic Corp. - H Shares,Consumer Discretionary - Automobiles,54,,54
700,Tencent Holdings Ltd.,Information Technology - Software &amp; Services,A+,A,61
708,China Evergrande New Energy Vehicle Group Ltd.,Consumer Discretionary - Automobiles,13,,13
709,Giordano International Ltd.,Consumer Discretionary - Textiles &amp; Clothing,26,,26
710,BOE Varitronix Ltd.,Consumer Discretionary - Automobiles,BBB+,B,21
716,Singamas Container Holdings Ltd.,Industrials - Industrial Engineering,28,,28
719,Shandong Xinhua Pharmaceutical Co. Ltd. - H Shares,Healthcare - Pharmaceuticals &amp; Biotechnology,30,,30
728,China Telecom Corporation Ltd. - H Shares,Telecommunications - Telecommunications,A-,,33
732,Truly International Holdings Ltd.,Industrials - Industrial Engineering,22,,22
743,Asia Cement (China) Holdings Corporation,Properties &amp; Construction - Construction,42,,42
751,Skyworth Group Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,A-,CCC,21
753,Air China Ltd. - H Shares,Consumer Discretionary - Travel &amp; Leisure,A-,A,33
754,Hopson Development Holdings Ltd.,Properties &amp; Construction - Properties,BBB+,B,25
757,Solargiga Energy Holdings Ltd.,Industrials - Industrial Engineering,19,,19
762,China Unicom (Hong Kong) Ltd.,Telecommunications - Telecommunications,A-,,30
763,ZTE Corporation - H Shares,Information Technology - IT Hardware,A+,A,54
769,China Rare Earth Holdings Ltd.,Materials - Diversified Metals &amp; Minerals,28,,28
